name,title,earning_group,category,sub_category
,RD-OS_ONC,Initial Patients Points,ONC,Initial Patients
,RD-OS_ONC,MBO,ONC,Others
,RD-OS_ONC,Patient Retention,ONC,Others
,RD_ONC_LPG,Above Goal Empower,ONC,Others
,RD_ONC_LPG,Above Goal Follow On Points,ONC,Follow On Patients
,RD_ONC_LPG,Above Goal Initial Patients Points,ONC,Initial Patients
,RD_ONC_LPG,Access Milestone,ONC,Others
,RD_ONC_LPG,Bonus,ONC,Others
,RD_ONC_LPG,CHS Team Performance,ONC,Others
,RD_ONC_LPG,Commission Adjustment,ONC,Others
,RD_ONC_LPG,Follow On Points,ONC,Follow On Patients
,RD_ONC_LPG,Growth Commission,ONC,Others
,RD_ONC_LPG,Guarantee Extended,ONC,Others
,RD_ONC_LPG,Initial Patients Points,ONC,Initial Patients
,RD_ONC_LPG,MBO,ONC,Others
,RD_ONC_LPG,Patient Retention,ONC,Others
,SR-COS,Above Goal Empower,ONC,Others
,SR-COS,Above Goal Follow On Points,ONC,Follow On Patients
,SR-COS,Above Goal Initial Patients Points,ONC,Initial Patients
,SR-COS,Access Milestone,ONC,Others
,SR-COS,Bonus,ONC,Others
,SR-COS,CHS Team Performance,ONC,Others
,SR-COS,Commission Adjustment,ONC,Others
,SR-COS,Follow On Points,ONC,Follow On Patients
,SR-COS,Growth Commission,ONC,Others
,SR-COS,Guarantee Extended,ONC,Others
,SR-COS,Initial Patients Points,ONC,Initial Patients
,SR-COS,MBO,ONC,Others
,SR-COS,Patient Retention,ONC,Others
,"Sr Director, Strategic Accounts",Above Goal Empower,ONC,Others
,"Sr Director, Strategic Accounts",Above Goal Follow On Points,ONC,Follow On Patients
,"Sr Director, Strategic Accounts",Above Goal Initial Patients Points,ONC,Initial Patients
,"Sr Director, Strategic Accounts",Access Milestone,ONC,Others
,"Sr Director, Strategic Accounts",Bonus,ONC,Others
,"Sr Director, Strategic Accounts",CHS Team Performance,ONC,Others
,"Sr Director, Strategic Accounts",Commission Adjustment,ONC,Others
,"Sr Director, Strategic Accounts",Follow On Points,ONC,Follow On Patients
,"Sr Director, Strategic Accounts",Growth Commission,ONC,Others
,"Sr Director, Strategic Accounts",Guarantee Extended,ONC,Others
,"Sr Director, Strategic Accounts",Initial Patients Points,ONC,Initial Patients
,"Sr Director, Strategic Accounts",MBO,ONC,Others
,"Sr Director, Strategic Accounts",Patient Retention,ONC,Others
,VP-Oncology,Above Goal Empower,ONC,Others
,VP-Oncology,Above Goal Follow On Points,ONC,Follow On Patients
,VP-Oncology,Above Goal Initial Patients Points,ONC,Initial Patients
,VP-Oncology,Access Milestone,ONC,Others
,VP-Oncology,Bonus,ONC,Others
,VP-Oncology,CHS Team Performance,ONC,Others
,VP-Oncology,Commission Adjustment,ONC,Others
,VP-Oncology,Follow On Points,ONC,Follow On Patients
,VP-Oncology,Growth Commission,ONC,Others
,VP-Oncology,Guarantee Extended,ONC,Others
,VP-Oncology,Initial Patients Points,ONC,Initial Patients
,VP-Oncology,MBO,ONC,Others
,VP-Oncology,Patient Retention,ONC,Others
,AD-SAM,Above Goal,WH,Points Goal
,AD-SAM,Above Goal Volume Retention,WH,Volume Retention
,AD-SAM,Access Milestone,WH,Others
,AD-SAM,Bonus,WH,Others
,AD-SAM,CHS Team Performance,WH,Others
,AD-SAM,Commission Adjustment,WH,Others
,AD-SAM,Goal,WH,Points Goal
,AD-SAM,Growth Commission,WH,Others
,IVF,Guarantee Extended,WH,Others
,IVF,MBO,WH,Others
,IVF,Volume Retention,WH,Volume Retention
,IVF-SAM,Above Goal,WH,Points Goal
,IVF-SAM,Above Goal Volume Retention,WH,Volume Retention
,IVF-SAM,Access Milestone,WH,Others
,IVF-SAM,Bonus,WH,Others
,IVF-SAM,CHS Team Performance,WH,Others
,IVF-SAM,Commission Adjustment,WH,Others
,IVF-SAM,Goal,WH,Points Goal
,IVF-SAM,Growth Commission,WH,Others
,IVF-SAM,Guarantee Extended,WH,Others
,IVF-SAM,MBO,WH,Others
,IVF-SAM,Volume Retention,WH,Volume Retention
,IVF-SR,Above Goal,WH,Points Goal
,IVF-SR,Above Goal Volume Retention,WH,Volume Retention
,IVF-SR,Access Milestone,WH,Others
,IVF-SR,Bonus,WH,Others
,IVF-SR,CHS Team Performance,WH,Others
,IVF-SR,Commission Adjustment,WH,Others
,IVF-SR,Goal,WH,Points Goal
,IVF-SR,Growth Commission,WH,Others
,IVF-SR,Guarantee Extended,WH,Others
,IVF-SR,MBO,WH,Others
,IVF-SR,Volume Retention,WH,Volume Retention
,NAM,Above Goal,WH,Points Goal
,NAM,Above Goal Volume Retention,WH,Volume Retention
,NAM,Access Milestone,WH,Others
,NAM,Bonus,WH,Others
,NAM,CHS Team Performance,WH,Others
,NAM,Commission Adjustment,WH,Others
,NAM,Goal,WH,Points Goal
,NAM,Growth Commission,WH,Others
,"Sr Director, WH Strategic",Growth Commission,WH,Others
,"Sr Director, WH Strategic",Guarantee Extended,WH,Others
,"Sr Director, WH Strategic",MBO,WH,Others
,"Sr Director, WH Strategic",Volume Retention,WH,Volume Retention
,VP-WH,Above Goal,WH,Points Goal
,VP-WH,Above Goal Volume Retention,WH,Volume Retention
,VP-WH,Access Milestone,WH,Others
,VP-WH,Bonus,WH,Others
,VP-WH,CHS Team Performance,WH,Others
,VP-WH,Commission Adjustment,WH,Others
,VP-WH,Goal,WH,Points Goal
,VP-WH,Growth Commission,WH,Others
,VP-WH,Guarantee Extended,WH,Others
,VP-WH,MBO,WH,Others
,VP-WH,Volume Retention,WH,Volume Retention
,NAM,Guarantee Extended,WH,Others
,NAM,MBO,WH,Others
,NAM,Volume Retention,WH,Volume Retention
,RD-HOSP,Above Goal,WH,Points Goal
,RD-HOSP,Above Goal Volume Retention,WH,Volume Retention
,RD-HOSP,Access Milestone,WH,Others
,RD-HOSP,Bonus,WH,Others
,RD-HOSP,CHS Team Performance,WH,Others
,RD-HOSP,Commission Adjustment,WH,Others
,RD-HOSP,Goal,WH,Points Goal
,RD-HOSP,Growth Commission,WH,Others
,RD-HOSP,Guarantee Extended,WH,Others
,RD-HOSP,MBO,WH,Others
,RD-HOSP,Volume Retention,WH,Volume Retention
,RD-IVF,Above Goal,WH,Points Goal
,RD-IVF,Above Goal Volume Retention,WH,Volume Retention
,RD-IVF,Access Milestone,WH,Others
,RD-IVF,Bonus,WH,Others
,RD-IVF,CHS Team Performance,WH,Others
,RD-IVF,Commission Adjustment,WH,Others
,RD-IVF,Goal,WH,Points Goal
,RD-IVF,Growth Commission,WH,Others
,RD-IVF,Guarantee Extended,WH,Others
,RD-IVF,MBO,WH,Others
,RD-IVF,Volume Retention,WH,Volume Retention
,RD-SR-HOSP,Above Goal,WH,Points Goal
,RD-SR-HOSP,Above Goal Volume Retention,WH,Volume Retention
,RD-SR-HOSP,Access Milestone,WH,Others
,RD-SR-HOSP,Bonus,WH,Others
,RD-SR-HOSP,CHS Team Performance,WH,Others
,RD-SR-HOSP,Commission Adjustment,WH,Others
,RD-SR-HOSP,Goal,WH,Points Goal
,RD-SR-HOSP,Growth Commission,WH,Others
,RD-SR-HOSP,Guarantee Extended,WH,Others
,RD-SR-HOSP,MBO,WH,Others
,RD-SR-HOSP,Volume Retention,WH,Volume Retention
,RD-WH,Above Goal,WH,Points Goal
,RD-WH,Above Goal Volume Retention,WH,Volume Retention
,RD-WH,Access Milestone,WH,Others
,RD-WH,Bonus,WH,Others
,RD-WH,CHS Team Performance,WH,Others
,RD-WH,Commission Adjustment,WH,Others
,RD-WH,Goal,WH,Points Goal
,RD-WH,Growth Commission,WH,Others
,RD-WH,Guarantee Extended,WH,Others
,RD-WH,MBO,WH,Others
,RD-WH,Volume Retention,WH,Volume Retention
,RD-WH-SR,Above Goal,WH,Points Goal
,RD-WH-SR,Above Goal Volume Retention,WH,Volume Retention
,RD-WH-SR,Access Milestone,WH,Others
,RD-WH-SR,Bonus,WH,Others
,RD-WH-SR,CHS Team Performance,WH,Others
,RD-WH-SR,Commission Adjustment,WH,Others
,RD-WH-SR,Goal,WH,Points Goal
,RD-WH-SR,Growth Commission,WH,Others
,RD-WH-SR,Guarantee Extended,WH,Others
,RD-WH-SR,MBO,WH,Others
,RD-WH-SR,Volume Retention,WH,Volume Retention
