name,territory,category,sub_category
,OHS_GN_San Antonio,OH,Renasight
,OHS_GN_Nashville,OH,Renasight
,OHS_GN_Pittsburgh,OH,Renasight
,OHS_GN_Charleston,OH,Renasight
,OHS_GN_Virginia,OH,Renasight
,OHS_GN_Raleigh,OH,Renasight
,OHS_GN_Dallas_North,OH,Renasight
,OHS_GN_Long Island,OH,Renasight
,OHS_GN_Chicago_Metro,OH,Renasight
,OHS_TX_Florida,OH,Prospera
,OHS_GN_Central Pennsylvania,OH,Renasight
,OH_GN_San Antonio,OH,Renasight
,OHS_TX_Lower West Coast,OH,Prospera
,OHS_GN_Kansas_City,OH,Renasight
,OHS_TX_Southland,OH,Prospera
,OHS_GN_Indianapolis,OH,Renasight
,OHS_GN_Ann Arbor,OH,Renasight
,OHS_GN_New Haven,OH,Renasight
,OHS_GN_Chicago_North,OH,Renasight
,OHS_GN_Tallahassee,OH,Renasight
,OHS_GN_Boston,OH,Renasight
,OH_GN_Long Island,OH,Renasight
,OH_GN_Albany,OH,Renasight
,OH_GN_San Jose,OH,Renasight
,OHS_GN_Fort Lauderdale,OH,Renasight
,OHS_GN_Birmingham,OH,Renasight
,OHS_GN_Albany,OH,Renasight
,OHS_TX_Great Lakes East,OH,Prospera
,OH_TX_DMV,OH,Prospera
,OHS_GN_North New Jersey,OH,Renasight
,OHS_TX_Great Lakes West,OH,Prospera
,OHS_GN_Chicago_South,OH,Renasight
,OH_GN_Brooklyn,OH,Renasight
,OH_GN_Minnesota,OH,Renasight
,OH_GN_Tampa,OH,Renasight
,OHS_GN_Louisiana,OH,Renasight
,OHS_GN_Valley,OH,Renasight
,OHS_GN_LA_North,OH,Renasight
,OHS_GN_Baltimore,OH,Renasight
,OHS_GN_Manhattan,OH,Renasight
,OHS_GN_San_Diego,OH,Renasight
,OHS_GN_Philadelphia,OH,Renasight
,OHS_GN_Atlanta_West,OH,Renasight
,OHS_TX_Northern Texas,OH,Prospera
,OHS_GN_Tampa,OH,Renasight
,OHS_GN_Orlando,OH,Renasight
,OHS_GN_Columbus,OH,Renasight
,OHS_GN_LA_South,OH,Renasight
,OHS_TX_Philadelphia,OH,Prospera
,"OHS_GN_Detroit, MI",OH,Renasight
,OHS_GN_DC,OH,Renasight
,OHS_GN_Charlotte,OH,Renasight
,OH_GN_Oklahoma,OH,Renasight
,OH_GN_Las Vegas,OH,Renasight
,OH_TX_NYC Metro,OH,Prospera
,OHS_TX_Southern Texas,OH,Prospera
,OHS_GN_Sacramento,OH,Renasight
,OHS_GN_Phoenix,OH,Renasight
,OH_GN_Orlando,OH,Renasight
,OH_TX_Pittsburgh,OH,Prospera
,OH_TX_Northshore,OH,Prospera
,OH_GN_Dallas_North,OH,Renasight
,OHS_GN_Cleveland,OH,Renasight
,OHS_GN_Atlanta_East,OH,Renasight
,OHS_GN_Iowa,OH,Renasight
,OHS_TX_Upper West Coast,OH,Prospera
,OHS_GN_Saint_Louis,OH,Renasight
,OHS_GN_Denver,OH,Renasight
,OHS_GN_San Francisco,OH,Renasight
,OHS_GN_South New Jersey,OH,Renasight
,OHS_GN_Houston,OH,Renasight
,OHS_GN_Albuquerque,OH,Renasight
,OHS_GN_Salt Lake,OH,Renasight
,OHS_GN_Miami,OH,Renasight
,OHS_GN_Dallas_South,OH,Renasight
,OHS_GN_Arkansas,OH,Renasight
,OHS_TX_Midwest,OH,Prospera
,OHS_GN_Austin,OH,Renasight
,OHS_GN_Kentucky,OH,Renasight
,OHS_GN_Minnesota,OH,Renasight
,OHS_GN_LA_East,OH,Renasight
,OHS_TX_Desert,OH,Prospera
,OHS_GN_Mississippi,OH,Renasight
,OH_GN_Seattle,OH,Renasight
,OH_GN_Greensboro,OH,Renasight
,OH_TX_Mid Atlantic,OH,Prospera
,OH_GN_Portland,OH,Renasight
,OH_TX_Boston,OH,Prospera
