Amount_paid,Currency_Code,period_name,Employee_id,Employee_name,Position_name
0,EUR,JAN-2025,,,
-24.67204,EUR,JAN-2025,,,
292.34484,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
72.15878,EUR,JAN-2025,,,
28.57893,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
0,MAD,JAN-2025,,,
-2614.28,EUR,JAN-2025,,,
-610001.6949261431563114260233226109,ARS,JAN-2025,,,
13729.04761,EGP,JAN-2025,,,
16679.15743,EGP,JAN-2025,,,
-1308.35105,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
-211.53711,EUR,JAN-2025,,,
0,COP,JAN-2025,,,
84654.09654,COP,JAN-2025,,,
222958.83902,COP,JAN-2025,,,
-128896.6096477674419503724752099552,COP,JAN-2025,,,
1013.90047,SAR,JAN-2025,,,
-2868.44622,SAR,JAN-2025,,,
-163045.87448,INR,JAN-2025,,,
0,UZS,JAN-2025,,,
68623.62468,UZS,JAN-2025,,,
0,UZS,JAN-2025,,,
-1530170.01603,UZS,JAN-2025,,,
-1427474.08694532471188632218108413,UZS,JAN-2025,,,
-5997244.886010005276733568770140977,UZS,JAN-2025,,,
0,MAD,JAN-2025,,,
0,MAD,JAN-2025,,,
27361.59239,NGN,JAN-2025,,,
0,NGN,JAN-2025,,,
9048.26322,EUR,JAN-2025,,,
-9048.26322,EUR,JAN-2025,,,
0,USD,JAN-2025,,,
0,USD,JAN-2025,,,
0,USD,JAN-2025,,,
0,USD,JAN-2025,,,
-137.23045,USD,JAN-2025,,,
-3091.30869,TRY,JAN-2025,,,
-749.87433,EUR,JAN-2025,,,
-675367.73738,JPY,JAN-2025,,,
1327.14218,USD,JAN-2025,,,
157.86822,AUD,JAN-2025,,,
6338.69077,AUD,JAN-2025,,,
-43386.82508,JPY,JAN-2025,,,
764.06747,GBP,JAN-2025,,,
553.90625,GBP,JAN-2025,,,
159.38945,GBP,JAN-2025,,,
126515.09613,ARS,JAN-2025,,,
52.34959,MYR,JAN-2025,,,
0,MYR,JAN-2025,,,
-16053.89038,CNY,JAN-2025,,,
-30.11044,AUD,JAN-2025,,,
-2037.57181,CHF,JAN-2025,,,
0,CHF,JAN-2025,,,
2006.49319,CHF,JAN-2025,,,
40247.1545,INR,JAN-2025,,,
0,VND,JAN-2025,,,
0,VND,JAN-2025,,,
-566015.84375,VND,JAN-2025,,,
0,VND,JAN-2025,,,
112108.60459,VND,JAN-2025,,,
0,TWD,JAN-2025,,,
18794.09044,TWD,JAN-2025,,,
325.56289,EUR,JAN-2025,,,
-325.56289,EUR,JAN-2025,,,
0,BRL,JAN-2025,,,
98.11508,BRL,JAN-2025,,,
-3670.33142,SAR,JAN-2025,,,
262.02685,CNY,JAN-2025,,,
3697.8875,CNY,JAN-2025,,,
-12619.99126,CNY,JAN-2025,,,
1009.53426,CNY,JAN-2025,,,
475.66668,CNY,JAN-2025,,,
0,CNY,JAN-2025,,,
0,CNY,JAN-2025,,,
-90101.53057,CNY,JAN-2025,,,
0,CNY,JAN-2025,,,
0,PKR,JAN-2025,,,
43680.7714,PKR,JAN-2025,,,
-43680.7714,PKR,JAN-2025,,,
-307612.93556,COP,JAN-2025,,,
0,KES,JAN-2025,,,
45.38397,EUR,JAN-2025,,,
172.8652,EUR,JAN-2025,,,
133371.71307,INR,JAN-2025,,,
0,IDR,JAN-2025,,,
0,IDR,JAN-2025,,,
0,IDR,JAN-2025,,,
-2488176.407211422534922450992609102,IDR,JAN-2025,,,
47.48282,GBP,JAN-2025,,,
201.70495,GBP,JAN-2025,,,
421.78199,GBP,JAN-2025,,,
20.99206,GBP,JAN-2025,,,
521.2974,EUR,JAN-2025,,,
78.91673,EUR,JAN-2025,,,
112.19638,EUR,JAN-2025,,,
-3394.1974,EUR,JAN-2025,,,
285.94234,EUR,JAN-2025,,,
34001.21011,INR,JAN-2025,,,
0,INR,JAN-2025,,,
-35303.88697,INR,JAN-2025,,,
153.09548,GBP,JAN-2025,,,
8871.22667,USD,JAN-2025,,,
1877.9671,USD,JAN-2025,,,
6355.21457,USD,JAN-2025,,,
2358.01149,USD,JAN-2025,,,
-5184.05495,USD,JAN-2025,,,
949.30747,USD,JAN-2025,,,
3183.06488,USD,JAN-2025,,,
2149.79932,USD,JAN-2025,,,
1663.7633,USD,JAN-2025,,,
51791.49652,JPY,JAN-2025,,,
0,PKR,JAN-2025,,,
0,PKR,JAN-2025,,,
3959.28264,PKR,JAN-2025,,,
4751.83044,AUD,JAN-2025,,,
0,AUD,JAN-2025,,,
-14096.25707,AUD,JAN-2025,,,
1213.19119,EUR,JAN-2025,,,
-3245.1333,EUR,JAN-2025,,,
5567.27876,INR,JAN-2025,,,
371.82083,INR,JAN-2025,,,
0,INR,JAN-2025,,,
1318.46971,CNY,JAN-2025,,,
951.33677,CNY,JAN-2025,,,
2168.82132,CNY,JAN-2025,,,
-314785.80953,JPY,JAN-2025,,,
-698364.7102,INR,JAN-2025,,,
-3806.16115,PLN,JAN-2025,,,
0,PLN,JAN-2025,,,
10272.8505,AED,JAN-2025,,,
-10747.41288,TWD,JAN-2025,,,
55160.60784,INR,JAN-2025,,,
48547.09716,INR,JAN-2025,,,
0,INR,JAN-2025,,,
616.04117,SAR,JAN-2025,,,
4673.48856,SAR,JAN-2025,,,
-8471.07286,SAR,JAN-2025,,,
0,EUR,JAN-2025,,,
142.19658,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
-44955.39003826121141303894735456246,DZD,JAN-2025,,,
-5350469.06822,DZD,JAN-2025,,,
-701.04966,EUR,JAN-2025,,,
8.1564,EUR,JAN-2025,,,
24.67204,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
375.74876,USD,JAN-2025,,,
-3256.70796,CNY,JAN-2025,,,
1613.27256,USD,JAN-2025,,,
228179.31528,JPY,JAN-2025,,,
1612.08897,MAD,JAN-2025,,,
-3239.38093,MAD,JAN-2025,,,
0,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
-2822.52361,CAD,JAN-2025,,,
315703.46834,INR,JAN-2025,,,
-23025.79579,EGP,JAN-2025,,,
2147.55199,MXN,JAN-2025,,,
68.06051,GBP,JAN-2025,,,
-68.06051,GBP,JAN-2025,,,
-2969.49662,MAD,JAN-2025,,,
276.03166,GBP,JAN-2025,,,
-3142.65363,GBP,JAN-2025,,,
0,TWD,JAN-2025,,,
0,AED,JAN-2025,,,
476.36265,AED,JAN-2025,,,
21893.58171,AED,JAN-2025,,,
7945.0658,AED,JAN-2025,,,
354.17536,CNY,JAN-2025,,,
226546.39907,JPY,JAN-2025,,,
91988.72556,JPY,JAN-2025,,,
100384.42959,JPY,JAN-2025,,,
-1037.25592,EGP,JAN-2025,,,
-16197.05175,EGP,JAN-2025,,,
3573.03712,EGP,JAN-2025,,,
168288.82392,INR,JAN-2025,,,
-1817115.044539124754363812375640549,VND,JAN-2025,,,
1766.29936,MAD,JAN-2025,,,
-767.43,SAR,JAN-2025,,,
2496.42882,MXN,JAN-2025,,,
346.86206,CNY,JAN-2025,,,
11976.36593,ZAR,JAN-2025,,,
-5685.503974227211104635569761182634,MXN,JAN-2025,,,
-5250.94707,CHF,JAN-2025,,,
-69879.21124,KES,JAN-2025,,,
-1058.29269,EUR,JAN-2025,,,
-432501.53356,JPY,JAN-2025,,,
1012.90718,EGP,JAN-2025,,,
0,ILS,JAN-2025,,,
9.18971,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
1.03177,EUR,JAN-2025,,,
106.72816,EUR,JAN-2025,,,
-4.329818739353087324968452018920436,EUR,JAN-2025,,,
231.15846,EUR,JAN-2025,,,
447.48516,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
-100.73771,EUR,JAN-2025,,,
-5443.51336,AUD,JAN-2025,,,
3829.11419,ZAR,JAN-2025,,,
-1069.31002,MAD,JAN-2025,,,
423466.92276,ARS,JAN-2025,,,
908.20903,GBP,JAN-2025,,,
962.85663,GBP,JAN-2025,,,
755.33496,GBP,JAN-2025,,,
-492.6824950317419425462490284439991,AED,JAN-2025,,,
0,AED,JAN-2025,,,
1363.69873,AED,JAN-2025,,,
0,AED,JAN-2025,,,
-1363.69873,AED,JAN-2025,,,
1004.50209,MAD,JAN-2025,,,
-8508.99378,MAD,JAN-2025,,,
3318.16274,SAR,JAN-2025,,,
642.49478,SAR,JAN-2025,,,
-133.18893,GBP,JAN-2025,,,
0,CNY,JAN-2025,,,
3256.70796,CNY,JAN-2025,,,
1465.64155,MAD,JAN-2025,,,
-6789.24431,MXN,JAN-2025,,,
1173.85304,MAD,JAN-2025,,,
805.07381,MAD,JAN-2025,,,
579.08928,EUR,JAN-2025,,,
4268.05501,ILS,JAN-2025,,,
2466890.98967,COP,JAN-2025,,,
473141.33965,CLP,JAN-2025,,,
0,CLP,JAN-2025,,,
145.85562,USD,JAN-2025,,,
3253.1199,SAR,JAN-2025,,,
288.43018,AZN,JAN-2025,,,
0,AZN,JAN-2025,,,
-281.3473865196121772511419975170886,EUR,JAN-2025,,,
158.15188,EUR,JAN-2025,,,
-25848.4616897382658738465392489203,MXN,JAN-2025,,,
0,EGP,JAN-2025,,,
-542.17297,BRL,JAN-2025,,,
0,MXN,JAN-2025,,,
0,USD,JAN-2025,,,
-49458.71638,INR,JAN-2025,,,
592.32688,EUR,JAN-2025,,,
1.60429,EUR,JAN-2025,,,
0,KES,JAN-2025,,,
54206.11988,KES,JAN-2025,,,
-615157.65517,KES,JAN-2025,,,
0,IDR,JAN-2025,,,
51.09192,BRL,JAN-2025,,,
0,EUR,JAN-2025,,,
0,IDR,JAN-2025,,,
0,COP,JAN-2025,,,
601982.57353,COP,JAN-2025,,,
0,GBP,JAN-2025,,,
1176.07149,EUR,JAN-2025,,,
458.84738,EUR,JAN-2025,,,
252.60697,EUR,JAN-2025,,,
-1001.84476,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
151265.48885,INR,JAN-2025,,,
4188.2694,INR,JAN-2025,,,
3779.78094,AED,JAN-2025,,,
143.05339,AED,JAN-2025,,,
-3922.83433,AED,JAN-2025,,,
97.20046,USD,JAN-2025,,,
431.96627,USD,JAN-2025,,,
2269.47907,SAR,JAN-2025,,,
3318.53825,SAR,JAN-2025,,,
-179596.01131,INR,JAN-2025,,,
-3373.06712,MXN,JAN-2025,,,
343146.60504,INR,JAN-2025,,,
45648.31805,INR,JAN-2025,,,
0,INR,JAN-2025,,,
352.78822,BRL,JAN-2025,,,
917.30244,BRL,JAN-2025,,,
1342.95525,CHF,JAN-2025,,,
-154845.92586,JPY,JAN-2025,,,
-106600.45744,JPY,JAN-2025,,,
59920.27526,JPY,JAN-2025,,,
125806.06043,JPY,JAN-2025,,,
-223750.30518,JPY,JAN-2025,,,
1558.99952,MAD,JAN-2025,,,
2571.83842,MAD,JAN-2025,,,
0,MAD,JAN-2025,,,
1183.80458,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
-3923.22874,EUR,JAN-2025,,,
731.91888,MYR,JAN-2025,,,
1084.74703,USD,JAN-2025,,,
961.19642,USD,JAN-2025,,,
906.15967,USD,JAN-2025,,,
-318094.93131,PHP,JAN-2025,,,
87.00234,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
3.53351,EUR,JAN-2025,,,
-98.71222,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
61.67565,EUR,JAN-2025,,,
1043.21922,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
5056.71758,USD,JAN-2025,,,
6260.35612,JPY,JAN-2025,,,
27400.1625,INR,JAN-2025,,,
0,INR,JAN-2025,,,
-1717.4285,GBP,JAN-2025,,,
-6874.84639,CNY,JAN-2025,,,
8856.85889,JPY,JAN-2025,,,
0,JPY,JAN-2025,,,
51254.60267,JPY,JAN-2025,,,
174487.66999,JPY,JAN-2025,,,
