category,incent_field,datalake_source,notes
standard,Order Code,invoice_number || '_' || invoice_date,
standard,Item Code,invoice_line_number || '_' || branch_shipment_type,
standard,Batch Name,'DataLake_' || period_end_date (+ BG / seq at prestage),
standard,Batch Type,'DataLake',
standard,Product Name,sku,
standard,Geography Name,Leave Blank,
standard,Customer Name,customer_account_name,
standard,Quantity,quantity,
standard,Amount,sales_amount,
standard,Amount UnitType,'USD',
standard,Incentive Date,invoice_date,
standard,Order Date,invoice_date,
standard,Order Type,'DataLake',
standard,Discount,Leave Blank,
standard,Description,sku_description,
standard,Related Order Code,Leave Blank,
standard,Related Item Code,Leave Blank,
standard,Employee ID,Derived via TMCA (OSR/ISR),
standard,Split Amount (%),TMCA SPLIT_PERCENTAGE,
custom,OSR_Code,outside_sales_rep_id,
custom,ISR_Code,inside_sales_rep_id,
custom,Branch_Code,sales_location_id,
custom,SIM_NUMBER,sku,
custom,Line_Type,branch_shipment_type,
custom,CUSTOMER_NUMBER,customer_account_number,
custom,COST_AMT,cost_amount,
custom,COST_AMT_UnitTypeName,'USD',
custom,AMS_SIM,Leave Blank,Not in DataLake feed
custom,MARKET_COST,standard_cost_amount,
custom,MARKET_COST_UnitTypeName,'USD',
custom,SUPPLIER,Leave Blank,Not in DataLake feed
custom,FREIGHT_COST,outbound_freight_expense_local,
custom,FREIGHT_COST_UNITTYPENAME,'USD',
custom,datasource_name,datasource_name,
custom,FEED_COUNT,FEED_COUNT,
